AttractionId,Attraction,AttractionType,AttractionRegion,AttractionCountry,AttractionAddress
369,Kuta Beach - Bali,Beaches,Bali,Indonesia,Kuta
481,Nusa Dua Beach,Beaches,Bali,Indonesia,"Semenanjung Nusa Dua, Nusa Dua 80517 Indonesia"
640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Bali,Indonesia,"Jl. Monkey Forest, Ubud 80571 Indonesia"
650,Sanur Beach,Beaches,Bali,Indonesia,Sanur
673,Seminyak Beach,Beaches,Bali,Indonesia,Seminyak
737,Tanah Lot Temple,Religious Sites,Bali,Indonesia,"Kecamatan Kediri, Kabupaten Tabanan, Beraban 82121 Indonesia"
748,Tegalalang Rice Terrace,Points of Interest & Landmarks,Bali,Indonesia,"Jalan Raya Ceking, Tegalalang 80517 Indonesia"
749,Tegenungan Waterfall,Waterfalls,Bali,Indonesia,"Jl. Raya Tegenungan, Kemenuh, Ubud 80581 Indonesia"
824,Uluwatu Temple,Religious Sites,Bali,Indonesia,"Jl. Raya Uluwatu Southern part of Bali, Pecatu 80361 Indonesia"
841,Waterbom Bali,Water Parks,Bali,Indonesia,"Jl. Kartika Plaza, Kuta 80361 Indonesia"
877,Balekambang Beach,Beaches,Malang (East Java),Indonesia,Malang District
888,Bromo Tengger Semeru National Park,National Parks,Malang (East Java),Indonesia,"Asrikaton - Pakis, Malang 65100 Indonesia"
897,Coban Rondo Waterfall,Waterfalls,Malang (East Java),Indonesia,Malang District
913,Goa Cina Beach,Beaches,Malang (East Java),Indonesia,"Dusun Trowotratih, Desa Sitiarjo Kecamatan Sumbermanjing Wetan, Malang 65111 Indonesia"
920,Jodipan Colorful Village,Neighborhoods,Malang (East Java),Indonesia,"Gang 1 Jodipan, Kesatrian, Kec. Blimbing, Malang 65126 Indonesia"
928,Khayangan Reflexology & Massage,Spas,Malang (East Java),Indonesia,Malang
937,Malang City Square,Points of Interest & Landmarks,Malang (East Java),Indonesia,"Jl. Merdeka Utara, Malang 65119 Indonesia"
947,Mount Semeru Volcano,Volcanos,Malang (East Java),Indonesia,Malang Lumajang
949,Museum Malang Tempo Doeloe,Speciality Museums,Malang (East Java),Indonesia,"Jl. Gajahmada no. 2, Malang 65119 Indonesia"
975,Sempu Island,Nature & Wildlife Areas,Malang (East Java),Indonesia,"Sumber Manjing Wetan, Malang 65111 Indonesia"
1133,Jomblang Cave,Caverns & Caves,Yogyakarta,Indonesia,"Jetis Wetan, Pacarejo, Semanu 55581 Indonesia"
1137,Kalibiru National Park,National Parks,Yogyakarta,Indonesia,Kulon Progo
1166,Malioboro Road,Flea & Street Markets,Yogyakarta,Indonesia,Yogyakarta
1171,Merapi Volcano,Volcanos,Yogyakarta,Indonesia,Yogyakarta
1220,Ramayana Ballet at Prambanan,Ballets,Yogyakarta,Indonesia,Sleman
1225,Ratu Boko Temple,Ancient Ruins,Yogyakarta,Indonesia,Yogyakarta
1238,Sewu Temple,Ancient Ruins,Yogyakarta,Indonesia,Yogyakarta
1278,Ullen Sentalu Museum,History Museums,Yogyakarta,Indonesia,"Jl. Boyong Taman Wisata, 55581 Indonesia"
1280,Water Castle (Tamansari),Points of Interest & Landmarks,Yogyakarta,Indonesia,"Jl. Taman, 55133 Indonesia"
1297,Yogyakarta Palace,Historic Sites,Yogyakarta,Indonesia,Yogyakarta
