UserId,ContinentId,RegionId,CountryId,CityId,UserContinent,UserRegion,UserCountry,UserCity
14,5,20,155,220,Europe,Southern Europe,Portugal,Lagos
16,3,14,101,3098,Asia,South East Asia,Indonesia,Jakarta
20,4,15,109,4303,Australia & Oceania,Australia,Australia,Gold Coast
23,1,4,22,154,Africa,Southern Africa,South Africa,Meyerton
25,3,14,101,3098,Asia,South East Asia,Indonesia,Jakarta
26,5,21,163,4485,Europe,Western Europe,United Kingdom,Kettering
27,5,17,130,6107,Europe,Central Europe,Poland,Poznan
28,2,9,54,2193,America,South America,Brazil,Olinda
29,3,14,101,3013,Asia,South East Asia,Indonesia,Bali
32,3,14,101,3013,Asia,South East Asia,Indonesia,Bali
33,5,21,162,7639,Europe,Western Europe,Netherlands,Amstelveen
34,1,4,22,167,Africa,Southern Africa,South Africa,Paarl
37,5,21,158,721,Europe,Western Europe,Belgium,Belgium
39,4,15,109,4940,Australia & Oceania,Australia,Australia,Perth
42,3,14,106,3551,Asia,South East Asia,Singapore,Singapore
48,4,15,109,4940,Australia & Oceania,Australia,Australia,Perth
51,4,15,109,4940,Australia & Oceania,Australia,Australia,Perth
52,4,15,109,535,Australia & Oceania,Australia,Australia,Sydney
54,5,21,163,8687,Europe,Western Europe,United Kingdom,Nottingham
56,2,8,48,302,America,Northern America,Canada,Abbotsford
57,5,21,163,9111,Europe,Western Europe,United Kingdom,Wolverhampton
59,5,20,150,692,Europe,Southern Europe,Greece,Athens
60,1,3,14,52,Africa,North Africa,Egypt,Cairo
61,4,15,109,535,Australia & Oceania,Australia,Australia,Sydney
65,2,8,51,800,America,Northern America,United States,California Desert
67,2,9,54,2208,America,South America,Brazil,Sao Leopoldo
70,5,21,163,8652,Europe,Western Europe,United Kingdom,Newcastle upon Tyne
72,4,15,109,4070,Australia & Oceania,Australia,Australia,Coffs Harbour
79,3,14,103,3354,Asia,South East Asia,Malaysia,Kuala Lumpur
83,2,8,48,573,America,Northern America,Canada,Whistler
85,4,16,115,5666,Australia & Oceania,Oceania,New Zealand,Wairarapa
90,3,12,85,2558,Asia,Middle East,Palestine,Hebron
92,5,21,163,426,Europe,Western Europe,United Kingdom,London
94,4,15,109,3755,Australia & Oceania,Australia,Australia,Australind
97,2,8,51,859,America,Northern America,United States,Chicago
98,3,14,106,3551,Asia,South East Asia,Singapore,Singapore
102,4,15,109,3915,Australia & Oceania,Australia,Australia,Brisbane
103,1,4,22,106,Africa,Southern Africa,South Africa,Cape Town
112,3,13,93,2819,Asia,South Asia,India,Mumbai
113,5,17,125,6000,Europe,Central Europe,Germany,Sonthofen
116,3,14,101,3098,Asia,South East Asia,Indonesia,Jakarta
117,5,19,142,6512,Europe,Northern Europe,Finland,Helsinki
118,4,15,109,3915,Australia & Oceania,Australia,Australia,Brisbane
119,3,11,69,2282,Asia,East Asia,China,Hong Kong
122,4,15,109,1434,Australia & Oceania,Australia,Australia,Melbourne
125,4,15,109,4303,Australia & Oceania,Australia,Australia,Gold Coast
129,2,8,51,950,America,Northern America,United States,Denver
131,4,15,109,3881,Australia & Oceania,Australia,Australia,Bonbeach
133,4,15,109,4940,Australia & Oceania,Australia,Australia,Perth
137,3,14,101,3098,Asia,South East Asia,Indonesia,Jakarta
139,3,14,101,3208,Asia,South East Asia,Indonesia,Pontianak
142,4,15,109,4616,Australia & Oceania,Australia,Australia,Mandurah
147,5,19,145,1963,Europe,Northern Europe,Sweden,Sweden
149,4,15,109,4616,Australia & Oceania,Australia,Australia,Mandurah
152,4,15,109,3945,Australia & Oceania,Australia,Australia,Bunbury
153,4,15,109,1434,Australia & Oceania,Australia,Australia,Melbourne
154,4,15,109,4940,Australia & Oceania,Australia,Australia,Perth
155,3,11,74,2468,Asia,East Asia,Taiwan,Taipei
156,2,8,48,465,America,Northern America,Canada,Orangeville
157,3,14,101,3098,Asia,South East Asia,Indonesia,Jakarta
158,4,15,109,1434,Australia & Oceania,Australia,Australia,Melbourne
160,2,8,51,1935,America,Northern America,United States,Steamboat Springs
162,4,15,109,3750,Australia & Oceania,Australia,Australia,Australia
166,4,15,109,3945,Australia & Oceania,Australia,Australia,Bunbury
170,2,8,48,515,America,Northern America,Canada,Sherbrooke
176,4,15,109,535,Australia & Oceania,Australia,Australia,Sydney
177,4,16,115,5639,Australia & Oceania,Oceania,New Zealand,Tauranga
180,5,21,163,9009,Europe,Western Europe,United Kingdom,United Kingdom
182,2,8,51,1195,America,Northern America,United States,Honolulu
183,5,21,160,7618,Europe,Western Europe,Ireland,Sligo
184,4,15,109,4994,Australia & Oceania,Australia,Australia,Portand
185,5,21,163,426,Europe,Western Europe,United Kingdom,London
187,2,8,51,1847,America,Northern America,United States,Seattle
189,4,15,109,1434,Australia & Oceania,Australia,Australia,Melbourne
190,2,8,50,611,America,Northern America,Mexico,Mexico City
191,5,21,163,9036,Europe,Western Europe,United Kingdom,Warminster
192,5,21,163,8652,Europe,Western Europe,United Kingdom,Newcastle upon Tyne
194,2,8,51,1923,America,Northern America,United States,Springfield
196,4,15,109,3973,Australia & Oceania,Australia,Australia,Cairns
199,5,21,163,426,Europe,Western Europe,United Kingdom,London
200,3,14,108,3667,Asia,South East Asia,Vietnam,Ho Chi Minh City
208,2,8,51,1592,America,Northern America,United States,Norwood
213,4,16,115,5487,Australia & Oceania,Oceania,New Zealand,Auckland
218,5,21,163,8450,Europe,Western Europe,United Kingdom,Inverness
228,3,13,93,2725,Asia,South Asia,India,Faridabad
230,4,15,109,5267,Australia & Oceania,Australia,Australia,Townsville
231,5,21,163,8258,Europe,Western Europe,United Kingdom,Edinburgh
234,1,4,22,107,Africa,Southern Africa,South Africa,Cape Town Central
239,5,21,163,8686,Europe,Western Europe,United Kingdom,Norwich
240,4,15,109,3987,Australia & Oceania,Australia,Australia,Canterbury
242,4,15,109,4303,Australia & Oceania,Australia,Australia,Gold Coast
247,2,8,48,371,America,Northern America,Canada,Edmonton
249,5,17,123,5781,Europe,Central Europe,Czech Republic,Pilsen
255,4,15,109,3687,Australia & Oceania,Australia,Australia,Adelaide
256,4,15,109,3687,Australia & Oceania,Australia,Australia,Adelaide
266,4,15,109,3687,Australia & Oceania,Australia,Australia,Adelaide
267,4,15,109,4940,Australia & Oceania,Australia,Australia,Perth
268,4,15,109,4964,Australia & Oceania,Australia,Australia,Playford
269,3,14,101,3061,Asia,South East Asia,Indonesia,Canggu
271,5,20,157,7052,Europe,Southern Europe,Spain,Barcelona
272,5,20,157,7169,Europe,Southern Europe,Spain,Seville
274,2,8,48,491,America,Northern America,Canada,Red Deer
276,5,21,159,7470,Europe,Western Europe,France,Montpellier
277,5,21,163,781,Europe,Western Europe,United Kingdom,Bristol
279,4,15,109,1434,Australia & Oceania,Australia,Australia,Melbourne
286,5,21,158,7199,Europe,Western Europe,Belgium,Asse
288,4,15,109,535,Australia & Oceania,Australia,Australia,Sydney
296,4,15,109,1434,Australia & Oceania,Australia,Australia,Melbourne
302,3,14,106,3551,Asia,South East Asia,Singapore,Singapore
303,3,14,106,3551,Asia,South East Asia,Singapore,Singapore
315,5,21,163,8916,Europe,Western Europe,United Kingdom,Stansted
316,2,8,51,1552,America,Northern America,United States,New York City
317,5,21,163,426,Europe,Western Europe,United Kingdom,London
319,4,16,115,5506,Australia & Oceania,Oceania,New Zealand,Christchurch
320,4,15,109,3945,Australia & Oceania,Australia,Australia,Bunbury
327,5,17,135,583,Europe,Central Europe,Switzerland,Zurich
328,2,8,51,1752,America,Northern America,United States,Reno
336,4,15,109,1434,Australia & Oceania,Australia,Australia,Melbourne
337,3,14,101,3230,Asia,South East Asia,Indonesia,Seminyak
339,1,4,22,106,Africa,Southern Africa,South Africa,Cape Town
340,4,15,109,535,Australia & Oceania,Australia,Australia,Sydney
341,3,14,101,3013,Asia,South East Asia,Indonesia,Bali
346,5,21,163,8317,Europe,Western Europe,United Kingdom,Glasgow
348,4,15,109,4940,Australia & Oceania,Australia,Australia,Perth
349,5,17,130,6098,Europe,Central Europe,Poland,Krakow
351,4,15,109,3687,Australia & Oceania,Australia,Australia,Adelaide
356,5,21,163,1633,Europe,Western Europe,United Kingdom,Oxford
359,4,15,109,5046,Australia & Oceania,Australia,Australia,Rockingham
361,2,8,51,2081,America,Northern America,United States,West Covina
365,5,21,162,3728,Europe,Western Europe,Netherlands,Arnhem
369,4,15,109,3687,Australia & Oceania,Australia,Australia,Adelaide
378,4,15,109,535,Australia & Oceania,Australia,Australia,Sydney
382,3,13,93,2905,Asia,South Asia,India,Vadodara
386,4,15,109,1434,Australia & Oceania,Australia,Australia,Melbourne
388,1,4,22,110,Africa,Southern Africa,South Africa,Centurion
390,3,12,88,2606,Asia,Middle East,Turkey,Izmir
393,5,17,122,5729,Europe,Central Europe,Croatia,Central Croatia
396,2,8,51,682,America,Northern America,United States,Arlington
397,4,15,109,3915,Australia & Oceania,Australia,Australia,Brisbane
399,5,17,130,6117,Europe,Central Europe,Poland,Warsaw
404,5,17,125,5954,Europe,Central Europe,Germany,Munich
408,5,17,127,6062,Europe,Central Europe,Latvia,Riga
410,3,14,101,3013,Asia,South East Asia,Indonesia,Bali
418,3,14,101,3098,Asia,South East Asia,Indonesia,Jakarta
419,5,21,163,4736,Europe,Western Europe,United Kingdom,Morley
421,5,21,163,1396,Europe,Western Europe,United Kingdom,Manchester
422,2,8,51,1358,America,Northern America,United States,Lodi
425,3,14,106,3551,Asia,South East Asia,Singapore,Singapore
426,4,15,109,3702,Australia & Oceania,Australia,Australia,Alice Springs
430,3,13,93,2708,Asia,South Asia,India,Chennai (Madras)
432,5,21,159,7494,Europe,Western Europe,France,Paris
433,4,15,109,4262,Australia & Oceania,Australia,Australia,Fremantle
435,5,21,163,8317,Europe,Western Europe,United Kingdom,Glasgow
442,3,14,106,3551,Asia,South East Asia,Singapore,Singapore
444,5,21,163,8757,Europe,Western Europe,United Kingdom,Preesall
445,5,21,163,8221,Europe,Western Europe,United Kingdom,Doncaster
446,4,15,109,5100,Australia & Oceania,Australia,Australia,Shellharbour
447,4,15,109,4940,Australia & Oceania,Australia,Australia,Perth
455,5,21,163,426,Europe,Western Europe,United Kingdom,London
456,4,15,109,4819,Australia & Oceania,Australia,Australia,New South Wales
459,4,16,115,5506,Australia & Oceania,Oceania,New Zealand,Christchurch
462,4,15,109,1434,Australia & Oceania,Australia,Australia,Melbourne
464,3,12,86,2563,Asia,Middle East,Qatar,Al-Rayyan
470,3,12,88,2590,Asia,Middle East,Turkey,Alanya
476,3,12,89,2623,Asia,Middle East,United Arab Emirates,Dubai
478,5,19,144,6621,Europe,Northern Europe,Norway,Son
480,2,8,51,2097,America,Northern America,United States,Westport
484,5,21,163,8367,Europe,Western Europe,United Kingdom,Harrogate
485,4,15,109,4442,Australia & Oceania,Australia,Australia,Joondalup
488,5,20,150,6759,Europe,Southern Europe,Greece,Greece
490,3,14,101,3098,Asia,South East Asia,Indonesia,Jakarta
494,4,15,109,5042,Australia & Oceania,Australia,Australia,Rochedale South
501,4,15,109,4940,Australia & Oceania,Australia,Australia,Perth
503,4,16,115,5506,Australia & Oceania,Oceania,New Zealand,Christchurch
511,2,8,51,929,America,Northern America,United States,Dallas
512,4,15,109,3915,Australia & Oceania,Australia,Australia,Brisbane
515,3,14,103,3367,Asia,South East Asia,Malaysia,Malaysia
516,4,15,109,3687,Australia & Oceania,Australia,Australia,Adelaide
517,3,14,101,3098,Asia,South East Asia,Indonesia,Jakarta
518,3,13,91,2649,Asia,South Asia,Bangladesh,Dhaka Division
521,4,15,109,3687,Australia & Oceania,Australia,Australia,Adelaide
525,4,15,109,535,Australia & Oceania,Australia,Australia,Sydney
527,4,16,115,390,Australia & Oceania,Oceania,New Zealand,Hamilton
528,4,15,109,3687,Australia & Oceania,Australia,Australia,Adelaide
542,5,17,125,5911,Europe,Central Europe,Germany,Kaufbeuren
545,4,16,115,5487,Australia & Oceania,Oceania,New Zealand,Auckland
550,5,19,144,6609,Europe,Northern Europe,Norway,Oslo
554,5,19,142,6520,Europe,Northern Europe,Finland,Kokkola
565,3,13,93,2770,Asia,South Asia,India,Kannur
568,1,4,22,136,Africa,Southern Africa,South Africa,Johannesburg
571,4,15,109,535,Australia & Oceania,Australia,Australia,Sydney
572,2,8,51,882,America,Northern America,United States,Clovis
574,3,14,106,3551,Asia,South East Asia,Singapore,Singapore
577,3,14,107,3577,Asia,South East Asia,Thailand,Chiang Mai
580,5,21,163,8571,Europe,Western Europe,United Kingdom,Lound
581,4,15,109,5030,Australia & Oceania,Australia,Australia,Retreat
583,5,21,163,743,Europe,Western Europe,United Kingdom,Birmingham
584,3,11,69,2277,Asia,East Asia,China,Guangzhou
585,5,17,125,5838,Europe,Central Europe,Germany,Cologne
590,4,15,109,1434,Australia & Oceania,Australia,Australia,Melbourne
594,4,15,109,3915,Australia & Oceania,Australia,Australia,Brisbane
595,5,19,144,6609,Europe,Northern Europe,Norway,Oslo
597,4,15,109,4303,Australia & Oceania,Australia,Australia,Gold Coast
603,4,16,115,5506,Australia & Oceania,Oceania,New Zealand,Christchurch
620,4,15,109,4756,Australia & Oceania,Australia,Australia,Mount Gambier
621,3,12,79,2517,Asia,Middle East,Israel,Batzra
625,4,16,115,5488,Australia & Oceania,Oceania,New Zealand,Auckland Central
627,3,13,93,2690,Asia,South Asia,India,Bengaluru
630,4,15,109,4630,Australia & Oceania,Australia,Australia,Margaret River
633,5,21,158,7195,Europe,Western Europe,Belgium,Antwerp
636,4,15,109,535,Australia & Oceania,Australia,Australia,Sydney
637,2,8,51,848,America,Northern America,United States,Charlotte
638,4,15,109,5267,Australia & Oceania,Australia,Australia,Townsville
640,3,13,97,2976,Asia,South Asia,Sri Lanka,Sigiriya
646,5,21,163,426,Europe,Western Europe,United Kingdom,London
648,5,21,163,426,Europe,Western Europe,United Kingdom,London
649,4,15,109,4606,Australia & Oceania,Australia,Australia,Maiden Gully
652,2,8,48,554,America,Northern America,Canada,Vancouver
655,4,15,109,4940,Australia & Oceania,Australia,Australia,Perth
656,3,14,101,3013,Asia,South East Asia,Indonesia,Bali
657,3,14,103,3342,Asia,South East Asia,Malaysia,Kerteh
659,3,14,106,3551,Asia,South East Asia,Singapore,Singapore
664,4,15,109,5267,Australia & Oceania,Australia,Australia,Townsville
667,2,8,51,1716,America,Northern America,United States,Port Saint Lucie
669,2,8,48,554,America,Northern America,Canada,Vancouver
678,3,12,86,2564,Asia,Middle East,Qatar,Doha
679,4,15,109,3849,Australia & Oceania,Australia,Australia,Bilinga
683,3,14,101,3098,Asia,South East Asia,Indonesia,Jakarta
688,5,19,141,6416,Europe,Northern Europe,Denmark,Aarhus
689,3,14,106,3551,Asia,South East Asia,Singapore,Singapore
690,4,15,109,5399,Australia & Oceania,Australia,Australia,Wollongong
691,4,15,109,1623,Australia & Oceania,Australia,Australia,Orange
694,4,15,109,5045,Australia & Oceania,Australia,Australia,Rockhampton
697,3,11,69,2282,Asia,East Asia,China,Hong Kong
698,3,14,103,3380,Asia,South East Asia,Malaysia,Penang
706,3,14,101,3226,Asia,South East Asia,Indonesia,Sanur Kaja
708,3,14,101,3285,Asia,South East Asia,Indonesia,Ubud
716,3,14,103,3354,Asia,South East Asia,Malaysia,Kuala Lumpur
718,3,14,101,3106,Asia,South East Asia,Indonesia,Java
720,4,15,109,1434,Australia & Oceania,Australia,Australia,Melbourne
724,2,8,51,965,America,Northern America,United States,Dripping Springs
726,4,16,115,5671,Australia & Oceania,Oceania,New Zealand,Wellington
727,3,11,69,2282,Asia,East Asia,China,Hong Kong
728,5,21,163,8166,Europe,Western Europe,United Kingdom,Colchester
733,4,16,115,390,Australia & Oceania,Oceania,New Zealand,Hamilton
736,3,14,101,3013,Asia,South East Asia,Indonesia,Bali
739,4,15,109,3915,Australia & Oceania,Australia,Australia,Brisbane
740,2,8,48,545,America,Northern America,Canada,Toronto
741,5,17,123,5782,Europe,Central Europe,Czech Republic,Prague
742,5,21,163,1346,Europe,Western Europe,United Kingdom,Lincoln
743,4,15,109,1434,Australia & Oceania,Australia,Australia,Melbourne
745,1,4,22,107,Africa,Southern Africa,South Africa,Cape Town Central
746,3,14,101,3140,Asia,South East Asia,Indonesia,Kuta
747,3,13,93,2910,Asia,South Asia,India,Varanasi District
748,3,13,91,2648,Asia,South Asia,Bangladesh,Dhaka City
750,5,17,131,6129,Europe,Central Europe,Romania,Bucharest
752,5,21,163,8051,Europe,Western Europe,United Kingdom,Bradford
753,3,14,101,3071,Asia,South East Asia,Indonesia,Denpasar
759,5,20,155,7020,Europe,Southern Europe,Portugal,Portimao
761,5,21,163,426,Europe,Western Europe,United Kingdom,London
762,3,11,73,2428,Asia,East Asia,South Korea,Daegu
766,4,15,109,4940,Australia & Oceania,Australia,Australia,Perth
767,3,14,103,3354,Asia,South East Asia,Malaysia,Kuala Lumpur
768,4,15,109,3687,Australia & Oceania,Australia,Australia,Adelaide
770,3,12,81,2537,Asia,Middle East,Kuwait,Kuwait
773,4,15,109,1434,Australia & Oceania,Australia,Australia,Melbourne
775,1,4,22,136,Africa,Southern Africa,South Africa,Johannesburg
776,2,8,48,383,America,Northern America,Canada,Grand Forks
778,4,15,109,3794,Australia & Oceania,Australia,Australia,Bateau Bay
780,5,21,163,9084,Europe,Western Europe,United Kingdom,Wigan
781,4,15,109,4151,Australia & Oceania,Australia,Australia,Dee Why
782,2,8,48,402,America,Northern America,Canada,Kelowna
793,2,8,51,858,America,Northern America,United States,Cheyenne
799,4,15,109,1434,Australia & Oceania,Australia,Australia,Melbourne
800,5,19,143,6559,Europe,Northern Europe,Iceland,Reykjavik
804,4,15,109,3981,Australia & Oceania,Australia,Australia,Canberra
807,4,15,109,1434,Australia & Oceania,Australia,Australia,Melbourne
810,5,21,163,743,Europe,Western Europe,United Kingdom,Birmingham
812,2,8,51,1804,America,Northern America,United States,San Diego
817,5,21,163,8945,Europe,Western Europe,United Kingdom,Sunderland
